id,school name,time of arrival,start time,duration
1125,MILESTONES EDUC PM,11:26,,0:44
1211,ST JOSEPH'S,11:33,,0:17
1193,RIVER HEIGHTS PM,11:42,,0:48
DROPOFF,ST JOSEPH'S,11:50,11:50
1131,MILESTONES EDUC PM,12:03,,0:07
1132,MILESTONES EDUC PM,12:05,,0:05
1150,MILESTONES EDUC PM,12:05,,0:05
DROPOFF,MILESTONES EDUC PM,12:10,12:10
1186,RIVER HEIGHTS PM,12:24,,0:06
DROPOFF,RIVER HEIGHTS PM,12:30,12:30
1136,MILESTONES EDUC PM,10:21,,1:49
1142,MILESTONES EDUC PM,10:21,,1:49
1159,MILESTONES EDUC PM,10:26,,1:44
1179,RIVER HEIGHTS PM,11:10,,1:20
1168,RIVER HEIGHTS PM,11:55,,0:35
1182,RIVER HEIGHTS PM,11:55,,0:35
1189,RIVER HEIGHTS PM,11:55,,0:35
1161,MILESTONES EDUC PM,12:02,,0:08
DROPOFF,MILESTONES EDUC PM,12:10,12:10
1173,RIVER HEIGHTS PM,12:21,,0:09
1167,RIVER HEIGHTS PM,12:28,,0:02
DROPOFF,RIVER HEIGHTS PM,12:30,12:30
1165,RIVER HEIGHTS PM,10:59,,1:31
1176,RIVER HEIGHTS PM,10:59,,1:31
1205,ST JOSEPH'S,10:59,,0:51
1127,MILESTONES EDUC PM,11:14,,0:56
1128,MILESTONES EDUC PM,11:31,,0:39
1187,RIVER HEIGHTS PM,11:35,,0:55
DROPOFF,ST JOSEPH'S,11:50,11:50
DROPOFF,MILESTONES EDUC PM,12:10,12:10
DROPOFF,RIVER HEIGHTS PM,12:30,12:30
1002,ABC'S DAYCARE,6:47,,0:54
1219,SUNSHINE LEARNI,6:59,,1:06
1144,MILESTONES EDUC AM,7:07,,1:08
1149,MILESTONES EDUC AM,7:11,,1:04
1157,MILESTONES EDUC AM,7:18,,0:57
1123,MILESTONES EDUC AM,7:18,,0:57
1221,SUNSHINE LEARNI,7:22,,0:43
1013,ABC'S DAYCARE,7:33,,0:08
1008,ABC'S DAYCARE,7:33,,0:08
1012,ABC'S DAYCARE,7:34,,0:07
1141,MILESTONES EDUC AM,7:36,,0:39
1156,MILESTONES EDUC AM,7:36,,0:39
DROPOFF,ABC'S DAYCARE,7:41,8:00
1225,SUNSHINE LEARNI,7:53,,0:12
DROPOFF,SUNSHINE LEARNI,8:05,8:05
DROPOFF,MILESTONES EDUC AM,8:15,8:15
1174,RIVER HEIGHTS AM,8:35,,0:10
1194,RIVER HEIGHTS AM,8:43,,0:02
DROPOFF,RIVER HEIGHTS AM,8:45,8:45
1172,RIVER HEIGHTS AM,7:31,,1:14
1184,RIVER HEIGHTS AM,7:42,,1:03
1151,MILESTONES EDUC AM,7:48,,0:27
DROPOFF,ABC'S DAYCARE,7:56,8:00
1011,ABC'S DAYCARE,8:05,,0:00
DROPOFF,MILESTONES EDUC AM,8:15,8:15
1166,RIVER HEIGHTS AM,8:39,,0:06
1180,RIVER HEIGHTS AM,8:41,,0:04
DROPOFF,RIVER HEIGHTS AM,8:45,8:45
1009,ABC'S DAYCARE,6:22,,1:38
1148,MILESTONES EDUC AM,6:37,,1:38
1135,MILESTONES EDUC AM,6:43,,1:32
1138,MILESTONES EDUC AM,6:43,,1:32
1155,MILESTONES EDUC AM,6:46,,1:29
1222,SUNSHINE LEARNI,7:01,,1:04
1130,MILESTONES EDUC AM,7:17,,0:58
1139,MILESTONES EDUC AM,7:31,,0:44
1010,ABC'S DAYCARE,7:50,,0:10
1006,ABC'S DAYCARE,7:58,,0:02
DROPOFF,ABC'S DAYCARE,8:00,8:00
DROPOFF,SUNSHINE LEARNI,8:05,8:05
1129,MILESTONES EDUC AM,8:11,,0:04
DROPOFF,MILESTONES EDUC AM,8:15,8:15
DROPOFF,n/a,9:00,9:00
1163,RIVER HEIGHTS AM,7:10,,1:35
1036,BOUNCING BABIES AM,7:24,,1:04
1185,RIVER HEIGHTS AM,7:26,,1:19
1197,RIVER HEIGHTS AM,7:43,,1:02
1196,RIVER HEIGHTS AM,7:44,,1:01
1033,BOUNCING BABIES AM,7:48,,0:40
1119,LITTLE SPROUTS,7:57,,0:33
1195,RIVER HEIGHTS AM,8:01,,0:44
1019,BOUNCING BABIES AM,8:05,,0:23
1181,RIVER HEIGHTS AM,8:10,,0:35
1034,BOUNCING BABIES AM,8:17,,0:11
1016,BOUNCING BABIES AM,8:18,,0:10
1041,BOUNCING BABIES AM,8:24,,0:04
DROPOFF,BOUNCING BABIES AM,8:28,8:30
DROPOFF,LITTLE SPROUTS,8:30,8:30
DROPOFF,RIVER HEIGHTS AM,8:45,8:45
DROPOFF,n/a,9:00,9:00
1120,LITTLE SPROUTS,7:09,,1:21
1026,BOUNCING BABIES AM,7:23,,1:05
1023,BOUNCING BABIES AM,7:41,,0:47
1027,BOUNCING BABIES AM,8:00,,0:28
1017,BOUNCING BABIES AM,8:11,,0:17
1039,BOUNCING BABIES AM,8:21,,0:07
DROPOFF,BOUNCING BABIES AM,8:28,8:30
DROPOFF,LITTLE SPROUTS,8:30,8:30
DROPOFF,n/a,9:00,9:00
DROPOFF,n/a,9:00,9:00
DROPOFF,n/a,9:00,9:00
